name,description,instructions,cookingTime,category,ingredients
Pongal,Soft rice and lentils cooked with pepper and cumin.,"Cook rice and moong dal until soft. Temper cumin, pepper, ginger and curry leaves. Mix together.",30,VEG,rice|moong dal|cumin|black pepper|ginger|curry leaves
Ven Pongal,Savory South Indian rice and lentil dish.,"Cook rice and dal until creamy. Temper cumin, pepper, ginger and curry leaves. Combine.",30,VEG,rice|moong dal|cumin|black pepper|ginger|ghee
Upma,Savory semolina breakfast with vegetables.,"Roast semolina. Temper mustard, curry leaves and onion. Add water and semolina and cook until fluffy.",20,VEG,semolina|onion|carrot|peas|mustard seeds|curry leaves
Poha,"Flattened rice cooked with onion, peanuts and lemon.","Rinse poha. Temper mustard, peanuts and onion. Add poha, turmeric and lemon juice and cook briefly.",15,VEG,poha|onion|peanuts|mustard seeds|turmeric|lemon
Masala Dosa,Crispy dosa filled with spiced potato.,Prepare dosa batter and cook thin on a hot pan. Fill with potato masala and fold.,35,VEG,rice|urad dal|potato|onion|mustard seeds|curry leaves
Idli,Soft steamed rice and lentil cakes.,Prepare fermented rice and urad dal batter. Pour into idli molds and steam until cooked.,30,VEG,rice|urad dal|salt|water
Medu Vada,Crispy lentil fritters with herbs and spices.,Grind soaked urad dal into a thick batter. Shape into rings and deep fry until golden.,35,VEG,urad dal|onion|green chili|curry leaves|black pepper
Vegetable Biryani,Fragrant basmati rice cooked with mixed vegetables and spices.,Cook vegetables with whole spices. Layer with partially cooked rice. Cover and cook until fragrant.,50,VEG,basmati rice|carrot|peas|beans|potato|onion
Paneer Biryani,Basmati rice layered with spiced paneer.,Marinate paneer with yogurt and spices. Cook rice partly. Layer paneer and rice and finish on low heat.,50,VEG,paneer|basmati rice|yogurt|onion|tomato|garam masala
Jeera Rice,Basmati rice flavored with cumin and ghee.,Temper cumin in ghee. Add cooked basmati rice and salt. Toss gently and serve.,20,VEG,basmati rice|cumin|ghee|salt
Pulao,Fragrant rice cooked with vegetables and whole spices.,Fry whole spices and onion. Add vegetables and rice with water. Cook until rice is fluffy.,30,VEG,basmati rice|carrot|peas|beans|onion|whole spices
Veg Fried Rice,Indo-Chinese rice stir-fried with vegetables.,Stir-fry garlic and vegetables on high heat. Add cooked rice and sauces. Toss until hot.,20,VEG,rice|carrot|beans|capsicum|garlic|soy sauce
Gobi Manchurian,Crispy cauliflower tossed in spicy sauce.,"Coat cauliflower and fry until crisp. Stir-fry garlic, onion and sauces. Toss cauliflower in the sauce.",35,VEG,cauliflower|corn flour|garlic|onion|soy sauce|capsicum
Paneer Tikka,Spiced paneer and vegetables grilled until charred.,Marinate paneer and vegetables in yogurt and spices. Skewer and grill until lightly charred.,30,VEG,paneer|yogurt|capsicum|onion|chili powder|garam masala
Aloo Tikki,Crispy potato patties with Indian spices.,Mash boiled potatoes with spices and herbs. Shape into patties and shallow fry until crisp.,25,VEG,potato|bread crumbs|green chili|coriander|cumin
Pav Bhaji,Spiced mashed vegetables served with toasted pav.,Cook potatoes and mixed vegetables. Mash with bhaji masala and butter. Toast pav and serve.,35,VEG,potato|cauliflower|peas|tomato|onion|pav
Chole Bhature,Spicy chickpeas served with fried bhature.,Cook chickpeas in onion-tomato gravy with spices. Prepare dough and fry bhature until puffed.,60,VEG,chickpeas|flour|tomato|onion|ginger|garam masala
Palak Corn,Corn cooked in creamy spinach gravy.,Blend blanched spinach. Cook onion and spices. Add corn and spinach and simmer with cream.,25,VEG,spinach|corn|onion|tomato|cream|garlic
Methi Malai Matar,Fenugreek leaves and peas in creamy gravy.,Cook onion and cashews and blend. Add peas and fenugreek leaves. Finish with cream and spices.,35,VEG,fenugreek leaves|peas|cashew|cream|onion|garam masala
Stuffed Capsicum,Capsicums stuffed with spiced potato and paneer.,Prepare potato-paneer filling. Stuff capsicums and bake or cook covered until tender.,35,VEG,capsicum|potato|paneer|onion|cumin|garam masala
Dum Aloo,Baby potatoes cooked in a rich spiced gravy.,Fry or roast baby potatoes. Prepare yogurt-tomato gravy with spices. Add potatoes and simmer.,40,VEG,potato|yogurt|tomato|onion|garam masala|cumin
Chicken Curry,Classic Indian chicken curry with onion and tomato.,"Brown chicken with spices. Cook onion, tomato, ginger and garlic. Add chicken and simmer until cooked.",45,NON_VEG,chicken|onion|tomato|ginger|garlic|garam masala
Butter Chicken,Tender chicken in a creamy tomato-butter gravy.,Cook marinated chicken. Prepare tomato gravy with butter and cream. Add chicken and simmer.,45,NON_VEG,chicken|tomato|butter|cream|yogurt|garam masala
Chicken Tikka Masala,Grilled chicken pieces in spiced tomato gravy.,Marinate and grill chicken. Cook onion and tomato with spices. Add grilled chicken and cream.,50,NON_VEG,chicken|tomato|onion|yogurt|cream|garam masala
Kadai Chicken,Spicy chicken cooked with capsicum and kadai spices.,Cook chicken with onion and spices. Add tomato and capsicum. Simmer until chicken is tender.,45,NON_VEG,chicken|capsicum|tomato|onion|kadai masala|ginger
Chicken Biryani,Fragrant rice layered with spiced chicken.,Marinate chicken with yogurt and spices. Partially cook rice. Layer chicken and rice and cook on low heat.,60,NON_VEG,chicken|basmati rice|yogurt|onion|mint|garam masala
Chicken Pulao,One-pot spiced rice with tender chicken.,Brown chicken with onion and spices. Add rice and water. Cover and cook until rice is fluffy.,45,NON_VEG,chicken|basmati rice|onion|ginger|garlic|whole spices
Chicken Fried Rice,Indo-Chinese fried rice with chicken and vegetables.,Stir-fry chicken and vegetables. Add cooked rice and sauces. Toss on high heat.,30,NON_VEG,chicken|rice|carrot|capsicum|garlic|soy sauce
Chicken 65,Crispy spicy fried chicken bites.,"Marinate chicken with yogurt, spices and flour. Deep fry until crisp and toss with curry leaves.",40,NON_VEG,chicken|yogurt|corn flour|chili powder|curry leaves|ginger
Chicken Chettinad,Spicy South Indian chicken with roasted spices.,Roast spices and coconut and grind. Cook onion and tomato. Add chicken and spice paste and simmer.,50,NON_VEG,chicken|coconut|onion|tomato|black pepper|curry leaves
Chicken Korma,Mild chicken curry with yogurt and nuts.,Cook chicken with onion and spices. Add cashew paste and yogurt. Simmer until creamy.,45,NON_VEG,chicken|yogurt|cashew|onion|cream|garam masala
Andhra Chicken Curry,Fiery chicken curry with South Indian spices.,"Cook onion, green chili and spices. Add chicken and tomato. Simmer until tender.",50,NON_VEG,chicken|onion|tomato|green chili|curry leaves|red chili
Kerala Chicken Curry,Coconut-based chicken curry with curry leaves.,"Cook onion, ginger, garlic and spices. Add chicken and coconut milk. Simmer until cooked.",45,NON_VEG,chicken|coconut milk|onion|ginger|garlic|curry leaves
Chicken Saag,Chicken cooked in spiced spinach gravy.,Cook chicken with spices. Add blended spinach and simmer. Finish with cream if desired.,45,NON_VEG,chicken|spinach|onion|tomato|garlic|cream
Chicken Do Pyaza,Chicken cooked with plenty of onion.,Brown chicken with spices. Cook sliced onion and tomato. Add chicken and simmer until tender.,45,NON_VEG,chicken|onion|tomato|ginger|garlic|garam masala
Tandoori Chicken,Yogurt-marinated chicken roasted with spices.,"Marinate chicken in yogurt, lemon and spices. Roast or grill until cooked and lightly charred.",50,NON_VEG,chicken|yogurt|lemon|ginger|garlic|chili powder
Chicken Seekh Kebab,Spiced minced chicken kebabs grilled on skewers.,"Mix minced chicken with onion, herbs and spices. Shape around skewers and grill until cooked.",35,NON_VEG,chicken mince|onion|coriander|ginger|garlic|garam masala
Mutton Rogan Josh,Slow-cooked mutton in a Kashmiri-style gravy.,Brown mutton with spices. Add yogurt and aromatics. Cover and slow-cook until tender.,90,NON_VEG,mutton|yogurt|onion|ginger|garlic|Kashmiri chili
Mutton Curry,Spiced mutton curry with onion and tomato.,"Brown mutton. Cook onion, tomato and spices. Add water and slow-cook until tender.",90,NON_VEG,mutton|onion|tomato|ginger|garlic|garam masala
Mutton Biryani,Layered basmati rice and spiced mutton.,Marinate and cook mutton until tender. Partially cook rice. Layer and finish on low heat.,100,NON_VEG,mutton|basmati rice|yogurt|onion|mint|garam masala
Mutton Keema,Minced mutton cooked with peas and spices.,"Brown minced mutton. Add onion, tomato and spices. Add peas and cook until done.",45,NON_VEG,mutton mince|peas|onion|tomato|ginger|garam masala
Mutton Korma,Rich mutton curry with yogurt and nuts.,Brown mutton with spices. Add yogurt and cashew paste. Slow-cook until tender.,90,NON_VEG,mutton|yogurt|cashew|onion|cream|garam masala
Mutton Sukka,Dry South Indian-style spiced mutton.,Cook mutton until tender. Roast coconut and spices. Toss cooked mutton with the spice mixture.,80,NON_VEG,mutton|coconut|onion|garlic|curry leaves|black pepper
Pepper Mutton,Spicy mutton cooked with black pepper.,"Cook mutton with onion, ginger and garlic. Add crushed black pepper and simmer until tender.",80,NON_VEG,mutton|black pepper|onion|ginger|garlic|curry leaves
Mutton Chettinad,Mutton cooked with roasted Chettinad spices and coconut.,Roast spices and coconut and grind. Cook mutton with onion and tomato. Add spice paste and slow-cook.,90,NON_VEG,mutton|coconut|onion|tomato|black pepper|curry leaves
Fish Curry,Fish cooked in a tangy spiced gravy.,"Cook onion, tomato and spices. Add tamarind and water. Gently simmer fish until cooked.",35,NON_VEG,fish|tomato|onion|tamarind|turmeric|chili powder
Kerala Fish Curry,Fish cooked with coconut and tamarind.,Cook spices and aromatics. Add coconut milk and tamarind. Gently simmer fish until cooked.,35,NON_VEG,fish|coconut milk|tamarind|onion|ginger|curry leaves
Goan Fish Curry,Tangy coconut fish curry with chili.,"Blend coconut, chili and spices. Cook with tamarind and onion. Add fish and simmer gently.",40,NON_VEG,fish|coconut|tamarind|red chili|onion|garlic
Fish Fry,Crispy shallow-fried fish marinated with spices.,Marinate fish with lemon and spices. Coat lightly with semolina if desired. Shallow fry until crisp.,25,NON_VEG,fish|lemon|chili powder|turmeric|ginger|garlic
Prawn Masala,Prawns cooked in spicy onion-tomato masala.,"Saute onion, tomato and spices. Add prawns and cook briefly until just done.",25,NON_VEG,prawns|onion|tomato|garlic|chili powder|coriander
Prawn Curry,Prawns simmered in coconut-spiced gravy.,Cook onion and spices. Add coconut milk and tamarind. Add prawns and simmer briefly.,30,NON_VEG,prawns|coconut milk|tamarind|onion|garlic|curry leaves
Egg Curry,Boiled eggs cooked in spiced tomato gravy.,Boil and peel eggs. Cook onion and tomato with spices. Add eggs and simmer in gravy.,30,NON_VEG,egg|tomato|onion|ginger|garlic|garam masala
Masala Omelette,"Indian omelette with onion, tomato and green chili.","Beat eggs with chopped onion, tomato and chili. Season and cook on both sides.",10,NON_VEG,egg|onion|tomato|green chili|coriander
Egg Bhurji,Scrambled eggs cooked with onion and tomato.,"Saute onion, tomato and chili. Add beaten eggs and scramble until just cooked.",15,NON_VEG,egg|onion|tomato|green chili|coriander|turmeric
Egg Biryani,Spiced basmati rice layered with boiled eggs.,Cook spiced rice. Boil eggs and lightly fry them. Layer eggs with rice and cook briefly.,40,NON_VEG,egg|basmati rice|onion|tomato|mint|garam masala
Egg Masala,Eggs coated in a spicy onion-tomato masala.,"Boil eggs and fry lightly. Cook onion, tomato and spices. Toss eggs in the masala.",25,NON_VEG,egg|onion|tomato|ginger|garlic|chili powder
